company_id,company_name,subscription_tier,monthly_fee
d8530cca,Microsoft,Enterprise,7036
278ed795,Salesforce,Enterprise,53197
b32a7297,Adobe,Pro,13662
3c8ea8f7,Oracle,Pro,70192
334de37d,SAP,Enterprise,31220
e34ebc59,Intuit,Basic,56121
d0f2ec2f,ServiceNow,Basic,18821
295d8261,Workday,Enterprise,16442
ccdfec2f,Zoom,Basic,35290
80662880,Shopify,Pro,37306
e9d5439f,Atlassian,Pro,43158
baf048d8,Snowflake,Pro,8040
38230f1f,HubSpot,Basic,11758
b4b2dfcf,DocuSign,Enterprise,12127
070cef1a,Slack,Enterprise,49673
3c88f94c,Notion,Basic,60781
6a34f87c,Datadog,Pro,7881
f52a3c8d,MongoDB,Pro,24840
494ca79b,Okta,Enterprise,50498
6875b12f,Twilio,Basic,42143
ad93aeb8,Stripe,Pro,8044
9fe9c7d1,Square,Pro,30639
145d947f,Palantir,Pro,41433
db1ba4af,Canva,Pro,39429
2c72052a,Monday.com,Enterprise,48637
e6bd7240,Asana,Basic,63803
db12612c,Airtable,Pro,48070
4beb557f,Figma,Enterprise,40907
1b834940,GitLab,Pro,8309
3cb78b5f,Zendesk,Enterprise,74574
9af57b2d,Box,Basic,48331
69badee2,Dropbox,Enterprise,10793
53ad8c04,Freshworks,Enterprise,7947
46394394,Klaviyo,Enterprise,56114
173d81d9,UiPath,Enterprise,72340
869c8182,Databricks,Enterprise,47370
a4780be4,Confluent,Basic,37189
65c2ab02,HashiCorp,Pro,41737
dcb59cec,Elastic,Enterprise,69524
91c42fb5,PagerDuty,Pro,9273
c6c43d20,New Relic,Basic,27970
7dd737b9,Splunk,Basic,22653
77194df0,Cloudflare,Pro,14316
fded39d2,SendGrid,Basic,55166
72a2c910,Mailchimp,Pro,17024
aaf987e6,Miro,Pro,5719
bfa3ce35,Grammarly,Enterprise,11246
023e6624,Calendly,Basic,25665
524e57d5,Intercom,Basic,12681
01089ba7,Segment,Enterprise,20808
